id,position,company,salary,currency,description,grade,email,publication_date,user_id,id_vacancies_status,id_vacancies_location
76cb94d2-5c4e-4673-94b2-80d5391fcce7,Разработчик,Технологии надёжности,100000,RUB,Разработка ПО для бизнеса,Junior,developer@company1.com,2024-01-01,1733622b-dc4b-4683-ba91-f0768f8a67e2,567d4aed-c772-425b-a067-5aba2f3ee0ef,0fb89c71-ddf6-4032-9509-1fec3b8590d1
44e16e97-56d7-4fd7-b0f1-4017aaf3d518,Менеджер,Сбербанк,80000,RUB,Управление проектами,Middle,manager@company2.com,2024-02-01,1733622b-dc4b-4683-ba91-f0768f8a67e2,b05b61d3-0ab2-4f92-b034-70f83db5b1fa,d8659911-0faa-45fb-96a9-0a8ef536fb65
2f6e4e34-6b58-4420-bb2e-b34f469728d3,Аналитик,ВТБ,75000,RUB,Анализ данных для отчетности,Junior,analyst@company3.com,2024-03-01,039f00e9-2600-483c-9cd1-96d5779820de,567d4aed-c772-425b-a067-5aba2f3ee0ef,d4ff9df8-8e2d-4132-b41c-b5890838bbf5
5277f303-b4c6-4c8b-bc51-d7f1f9b4225f,Системный администратор,Т-Банк,90000,RUB,Поддержка серверного оборудования,Middle,sysadmin@company4.com,2024-04-01,039f00e9-2600-483c-9cd1-96d5779820de,b05b61d3-0ab2-4f92-b034-70f83db5b1fa,94185233-1cef-436a-8f36-e5e1e6d861fc
c703c0fe-b559-4a2d-998f-83df40e663cb,Дизайнер,Google,85000,RUB,Создание макетов и интерфейсов,Senior,designer@company5.com,2024-05-01,7cb0937b-c827-44f0-ba50-8431274a5334,567d4aed-c772-425b-a067-5aba2f3ee0ef,fa518a46-3a1e-4693-b757-a300376801f9
7cbf1e7e-b739-47b3-b16d-b6be2f220ab2,Тестировщик,VK Group,60000,RUB,Тестирование ПО и приложений,Junior,tester@company6.com,2024-06-01,7cb0937b-c827-44f0-ba50-8431274a5334,b05b61d3-0ab2-4f92-b034-70f83db5b1fa,dfb9b143-b100-44d1-8621-d5066f9fcb32
a3a1b0f4-6b3a-4c55-b4bb-58f96b0c5511,Менеджер по продажам,Alpha Bank,95000,RUB,Продажа и маркетинг продукции,Middle,sales@company7.com,2024-07-01,f05d36e0-169e-4350-a7bc-494b92eec76f,567d4aed-c772-425b-a067-5aba2f3ee0ef,ffb5140b-3cde-48f2-a1d5-be2e0b3cdb3a
9e5b8b4e-76ad-475a-9989-5d6a4637b88e,Бухгалтер,Team Spirit,50000,RUB,Учет финансов и отчетность,Junior,accountant@company8.com,2024-08-01,f05d36e0-169e-4350-a7bc-494b92eec76f,567d4aed-c772-425b-a067-5aba2f3ee0ef,b394e2df-a159-4ba9-945d-9127e5c074a3
92315f19-d8b1-48f6-b951-e4e5436c2a43,Менеджер по продукту,Virtus Pro,120000,RUB,Управление продуктом и разработка,Senior,product@company9.com,2024-09-01,589f5a89-2a51-4fee-8d2f-6d7d003483cb,b05b61d3-0ab2-4f92-b034-70f83db5b1fa,22418331-3d5a-44cc-a82f-c3197ea5d049
6f1b84d8-4019-4bb4-b4f3-746b3a3c5b25,Рекрутер,Thundra,70000,RUB,Поиск и найм сотрудников,Middle,recruiter@company10.com,2024-10-01,589f5a89-2a51-4fee-8d2f-6d7d003483cb,b05b61d3-0ab2-4f92-b034-70f83db5b1fa,7b653e56-28ec-4cdf-a994-edd629681b4b
